Sample_id Subject_id Missing Gender SurvivalTime CensoringIndicator
S379 S379 0 1 4.3 0
S10 S10 0 0 8 1
S1398 S1398 0 1 9 1
S1467 S1467 0 1 5.4 0
S160 S160 0 1 13.4 1
S1012 S1012 0 1 4.4 0
S179 S179 0 1 4.4 0
S2178 S2178 0 1 4.4 0
S2180 S2180 0 1 4.4 0
S364 S364 0 1 10.4 1
S922 S922 0 0 9 0
S985 S985 0 1 8 0
S941 S941 0 0 10.7 0
S2146 S2146 0 1 4.5 1
S2025 S2025 0 1 4.5 1
S507 S507 0 1 11 0
S1043 S1043 0 1 8.1 0
S1275 S1275 0 1 4.5 0
S1295 S1295 0 0 5.5 0
S1338 S1338 0 1 4.5 0
S2033 S2033 0 1 14 1
S2053 S2053 0 1 14 1
S2160 S2160 0 1 7.5 0
S221 S221 0 1 4.5 0
S231 S231 0 1 4.5 0
S762 S762 0 1 10.5 1
S383 S383 0 1 4.5 0
S530 S530 0 1 4.6 0
S1035 S1035 0 1 4.6 0
S1378 S1378 0 0 8 0
S228 S228 0 1 6.6 0
S973 S973 0 1 7.6 0
S2047 S2047 0 1 5.7 1
S567 S567 0 1 4.7 0
S1317 S1317 0 1 5.7 0
S181 S181 0 1 5.7 0
S2094 S2094 0 1 6.7 1
S2174 S2174 0 1 4.7 0
S343 S343 0 1 9.7 1
S653 S653 0 1 7.7 0
S657 S657 0 1 9.7 1
S2037 S2037 0 1 7.8 1
S2179 S2179 0 1 5.8 0
S1298 S1298 0 1 9.9 0
S356 S356 0 1 8.9 0
S1468 S1468 0 1 7.9 0
S1005 S1005 0 1 5 0
S1031 S1031 0 1 5 0
S1194 S1194 0 1 5 0
S17 S17 0 0 4.7 0
S2048 S2048 0 0 11.9 1
S326 S326 0 1 5 0
S843 S843 0 1 17 0
S996 S996 0 1 5 0
S2150 S2150 0 1 5 0
S1336 S1336 0 1 8 0
S196 S196 0 1 5.1 0
S2046 S2046 0 1 19.1 1
S2171 S2171 0 1 5.1 0
S225 S225 0 1 5.1 0
S237 S237 0 1 9.1 0
S320 S320 0 1 7.1 0
S381 S381 0 1 5.1 0
S497 S497 0 1 5.1 0
S844 S844 0 1 12.1 0
S91 S91 0 0 8.1 0
S380 S380 0 1 5.1 0
S2126 S2126 0 0 6 1
S2007 S2007 0 1 5.1 1
S544 S544 0 1 5.2 0
S568 S568 0 1 5.2 0
S2087 S2087 0 0 7 1
S2006 S2006 0 1 7.2 1
S1011 S1011 0 1 5.2 0
S1049 S1049 0 1 5.2 0
S1178 S1178 0 1 6.2 0
S156 S156 0 1 5.2 0
S166 S166 0 1 11.2 0
S206 S206 0 1 9.2 0
S2169 S2169 0 1 7.2 0
S342 S342 0 1 5.2 0
S347 S347 0 1 5.2 0
S542 S542 0 1 5.3 0
S2035 S2035 0 1 6.3 1
S186 S186 0 1 6.3 0
S2023 S2023 0 1 11.3 1
S2176 S2176 0 1 5.3 0
S2182 S2182 0 1 5.3 0
S386 S386 0 1 5.3 0
S562 S562 0 1 10.3 1
S780 S780 0 1 11.3 0
S2159 S2159 0 1 5.4 0
S641 S641 0 0 13.2 1
S207 S207 0 1 6.5 0
S1039 S1039 0 1 11.5 1
S1051 S1051 0 1 5.5 0
S1055 S1055 0 1 19.5 1
S1070 S1070 0 1 5.5 0
S1190 S1190 0 1 5.5 0
S1257 S1257 0 0 5 0
S1294 S1294 0 0 7.2 0
S2116 S2116 0 0 14.6 1
S2175 S2175 0 1 5.5 0
S361 S361 0 1 5.5 0
S549 S549 0 1 18.5 1
S839 S839 0 1 9.5 0
S986 S986 0 1 5.5 0
S1380 S1380 0 1 10.5 0
S552 S552 0 1 7.5 1
S1256 S1256 0 0 5 0
S1301 S1301 0 0 7 0
S1330 S1330 0 0 5.2 0
S1406 S1406 0 0 6.7 0
S2063 S2063 0 0 11 1
S2168 S2168 0 1 5.6 0
S2177 S2177 0 1 5.6 0
S748 S748 0 0 13.6 0
S761 S761 0 1 5.6 0
S824 S824 0 0 9 0
S1333 S1333 0 1 8.7 0
S698 S698 0 0 7 0
S1184 S1184 0 1 5.7 0
S122 S122 0 0 9 0
S1269 S1269 0 1 17.7 1
S1279 S1279 0 0 9.9 0
S1284 S1284 0 1 5.7 0
S1337 S1337 0 1 7.7 0
S1397 S1397 0 1 7.7 1
S2034 S2034 0 1 20.7 1
S2170 S2170 0 1 5.7 0
S278 S278 0 1 5.7 0
S715 S715 0 0 10.4 1
S764 S764 0 0 14 0
S776 S776 0 0 14.6 0
S83 S83 0 0 24.8 0
S2060 S2060 0 0 6.3 1
S1058 S1058 0 0 8 1
S1393 S1393 0 1 5.8 0
S162 S162 0 1 14.9 1
S11 S11 0 0 4.5 0
S2101 S2101 0 1 7.9 1
S506 S506 0 1 5.9 0
S1025 S1025 0 1 5.9 0
S1174 S1174 0 1 5.9 0
S1307 S1307 0 0 6 0
S1324 S1324 0 0 7 0
S1379 S1379 0 1 5.9 0
S2058 S2058 0 0 22 1
S2120 S2120 0 1 8.9 1
S2127 S2127 0 0 15 1
S213 S213 0 1 5.9 0
S2152 S2152 0 1 5.9 0
S360 S360 0 1 14.9 0
S529 S529 0 1 8.9 1
S707 S707 0 0 14 1
S746 S746 0 0 9.3 1
S765 S765 0 1 6.9 0
S944 S944 0 0 15 1
S782 S782 0 1 8 1
S394 S394 0 1 6 0
S42 S42 0 0 7 0
S1064 S1064 0 1 13 1
S1282 S1282 0 1 9 0
S1293 S1293 0 0 20.8 1
S1340 S1340 0 1 11 1
S187 S187 0 1 8 0
S2054 S2054 0 1 12 1
S2113 S2113 0 1 19 1
S2161 S2161 0 1 12 0
S251 S251 0 1 10 0
S325 S325 0 1 9 0
S334 S334 0 1 6 0
S349 S349 0 1 6 0
S45 S45 0 0 21 1
S566 S566 0 1 7 0
S654 S654 0 1 10 1
S72 S72 0 0 22.7 1
S743 S743 0 0 19 0
S874 S874 0 0 10.6 0
S92 S92 0 0 12.8 1
S961 S961 0 0 22 1
S841 S841 0 1 9.1 0
S1399 S1399 0 1 14.1 1
S100 S100 0 1 6.2 0
S1469 S1469 0 1 10.2 1
S185 S185 0 1 24.2 1
S190 S190 0 1 10.2 1
S2012 S2012 0 0 14.9 1
S2130 S2130 0 1 12.2 1
S293 S293 0 1 8.2 0
S335 S335 0 1 11.2 1
S375 S375 0 1 6.2 0
S50 S50 0 0 19 0
S621 S621 0 0 10 0
S668 S668 0 0 14 1
S683 S683 0 0 8 1
S705 S705 0 0 15.5 0
S854 S854 0 0 15 1
S97 S97 0 0 13.4 1
S2050 S2050 0 0 7.9 1
S554 S554 0 1 6.3 0
S892 S892 0 1 13.3 0
S1020 S1020 0 0 13 1
S1065 S1065 0 0 12 0
S1193 S1193 0 1 6.4 0
S1306 S1306 0 0 6 0
S1347 S1347 0 0 5.7 0
S2022 S2022 0 0 15 1
S2117 S2117 0 0 14 1
S2135 S2135 0 0 10 0
S2155 S2155 0 1 11.4 1
S336 S336 0 1 11.4 1
S489 S489 0 0 8 0
S589 S589 0 0 9 0
S716 S716 0 0 15 0
S88 S88 0 0 17 1
S951 S951 0 1 9.4 0
S820 S820 0 0 13.1 0
S1358 S1358 0 0 6.2 0
S1047 S1047 0 1 6.5 0
S1053 S1053 0 1 9.5 0
S1176 S1176 0 1 6.5 0
S1177 S1177 0 1 7.5 0
S1244 S1244 0 0 4.7 0
S1248 S1248 0 0 5.3 0
S1250 S1250 0 0 6 0
S1314 S1314 0 0 5 0
S136 S136 0 0 13 1
S2062 S2062 0 0 12.9 1
S2088 S2088 0 0 13.9 1
S2105 S2105 0 0 20.1 1
S2112 S2112 0 1 15.5 1
S2151 S2151 0 1 8.5 0
S299 S299 0 1 8.5 0
S389 S389 0 0 7.2 0
S643 S643 0 0 17.6 1
S739 S739 0 0 20 1
S742 S742 0 0 16.1 0
S791 S791 0 0 9 0
S903 S903 0 0 7 0
S905 S905 0 0 4.5 0
S2136 S2136 0 0 7 0
S2073 S2073 0 1 9.6 1
S2144 S2144 0 0 5 0
S838 S838 0 1 9.6 0
S2183 S2183 0 1 6.6 0
S2005 S2005 0 1 8.7 1
S2026 S2026 0 1 6.7 1
S1033 S1033 0 1 9.7 1
S1060 S1060 0 0 14.4 1
S1311 S1311 0 0 18 0
S1323 S1323 0 0 6 0
S1326 S1326 0 0 8 0
S1342 S1342 0 1 13.7 1
S2100 S2100 0 1 14.7 1
S2167 S2167 0 1 6.7 0
S550 S550 0 1 6.7 0
S57 S57 0 0 4 0
S60 S60 0 0 7 0
S603 S603 0 0 8.7 0
S61 S61 0 0 9 1
S639 S639 0 0 15 1
S647 S647 0 0 26.1 1
S658 S658 0 1 6.7 0
S700 S700 0 0 18.6 1
S71 S71 0 0 19.3 1
S711 S711 0 0 17.4 0
S826 S826 0 0 8 0
S865 S865 0 0 6 0
S2084 S2084 0 1 14.8 1
S2115 S2115 0 0 8.3 1
S1050 S1050 0 1 6.9 0
S1192 S1192 0 1 6.9 0
S1195 S1195 0 1 6.9 0
S1270 S1270 0 1 6.9 0
S1280 S1280 0 0 11.2 0
S1283 S1283 0 1 8.9 0
S1371 S1371 0 0 10 1
S1458 S1458 0 0 16.5 1
S201 S201 0 1 10.9 0
S2042 S2042 0 0 14 1
S2056 S2056 0 1 9.9 1
S2093 S2093 0 1 8.9 1
S2128 S2128 0 0 13 1
S2142 S2142 0 0 14 1
S3 S3 0 0 14.4 0
S332 S332 0 1 6.9 0
S531 S531 0 1 8.9 1
S594 S594 0 0 23 1
S769 S769 0 0 13 1
S873 S873 0 0 10 0
S955 S955 0 0 14.5 0
S978 S978 0 1 6.9 0
S59 S59 0 0 8.7 1
S2028 S2028 0 0 10.1 1
S505 S505 0 1 7 0
S1374 S1374 0 0 10.8 0
S397 S397 0 1 8 0
S1394 S1394 0 1 8.1 0
S1387 S1387 0 0 7 1
S1071 S1071 0 0 12 0
S1074 S1074 0 0 8 0
S1227 S1227 0 0 19 1
S1305 S1305 0 0 6.4 0
S1327 S1327 0 0 12 1
S1328 S1328 0 0 6.6 0
S1401 S1401 0 0 13 0
S1446 S1446 0 0 11.1 0
S165 S165 0 1 16.1 1
S2 S2 0 0 22.8 0
S2027 S2027 0 0 10.6 1
S319 S319 0 1 7.1 0
S352 S352 0 1 7.1 0
S498 S498 0 0 19.9 1
S581 S581 0 0 16.8 0
S584 S584 0 0 8 0
S650 S650 0 0 14 1
S67 S67 0 0 22 1
S777 S777 0 0 13 1
S804 S804 0 0 7 0
S895 S895 0 0 15 0
S908 S908 0 0 11 0
S916 S916 0 1 10.1 0
S968 S968 0 1 7.1 0
S998 S998 0 1 7.1 0
S1335 S1335 0 1 10.2 0
S688 S688 0 0 7.1 0
S1006 S1006 0 1 7.3 0
S1180 S1180 0 1 7.3 0
S12 S12 0 0 8 0
S128 S128 0 0 15.5 0
S1281 S1281 0 1 7.3 0
S1308 S1308 0 0 6 0
S1310 S1310 0 0 7.1 0
S132 S132 0 0 12 1
S134 S134 0 0 12 0
S1351 S1351 0 0 8.3 0
S1355 S1355 0 0 7 0
S168 S168 0 1 15.3 1
S20 S20 0 0 8.8 0
S2156 S2156 0 1 9.3 0
S2157 S2157 0 1 9.3 0
S243 S243 0 1 7.3 0
S36 S36 0 0 21 1
S370 S370 0 1 10.3 0
S486 S486 0 0 5.6 0
S588 S588 0 0 13 0
S712 S712 0 0 13 0
S744 S744 0 0 19 0
S84 S84 0 0 17.4 1
S902 S902 0 0 14 0
S924 S924 0 0 11.7 0
S930 S930 0 0 15 0
S98 S98 0 0 14 1
S980 S980 0 1 7.3 0
S990 S990 0 1 7.3 0
S2092 S2092 0 1 15.3 1
S858 S858 0 1 16.4 1
S40 S40 0 0 9.2 0
S13 S13 0 0 5 0
S2125 S2125 0 0 10 1
S1062 S1062 0 1 7.5 0
S1019 S1019 0 1 7.5 0
S1024 S1024 0 1 7.5 0
S1066 S1066 0 0 6 0
S1072 S1072 0 0 21 1
S1271 S1271 0 1 7.5 0
S137 S137 0 0 13 1
S1383 S1383 0 0 5.5 0
S140 S140 0 0 18 1
S16 S16 0 0 9.2 1
S2000 S2000 0 0 8.6 1
S2038 S2038 0 0 15 1
S2129 S2129 0 0 25 0
S2132 S2132 0 0 22 1
S2133 S2133 0 0 16 1
S2189 S2189 0 0 8.5 0
S22 S22 0 0 11.6 1
S52 S52 0 0 22 1
S620 S620 0 0 10.8 0
S651 S651 0 0 8.6 0
S677 S677 0 0 6 0
S751 S751 0 0 14.3 1
S756 S756 0 0 13 1
S768 S768 0 0 12.8 0
S781 S781 0 1 22.5 1
S802 S802 0 0 15 0
S823 S823 0 0 13.2 1
S866 S866 0 0 12 0
S871 S871 0 0 10 0
S878 S878 0 0 10 0
S927 S927 0 0 12 0
S496 S496 0 1 7.5 0
S19 S19 0 0 9.3 1
S2049 S2049 0 0 7 1
S2109 S2109 0 0 9 1
S1370 S1370 0 0 6.5 0
S1009 S1009 0 1 7.8 0
S121 S121 0 0 13.1 1
S1215 S1215 0 0 6.2 0
S1225 S1225 0 0 5.7 0
S1288 S1288 0 1 7.8 0
S1316 S1316 0 0 6.8 0
S1376 S1376 0 0 7.3 0
S142 S142 0 1 8.8 0
S2001 S2001 0 0 30.6 1
S2107 S2107 0 0 27.2 1
S2111 S2111 0 0 16.3 0
S279 S279 0 1 11.8 0
S586 S586 0 0 5.7 0
S679 S679 0 0 7.6 0
S7 S7 0 0 15.6 1
S752 S752 0 0 15.6 0
S827 S827 0 0 7.1 0
S829 S829 0 0 11.9 0
S850 S850 0 0 12 0
S853 S853 0 0 20.2 1
S864 S864 0 0 12 0
S898 S898 0 0 11.4 0
S923 S923 0 0 17.3 0
S99 S99 0 0 11 0
S2137 S2137 0 1 7.8 1
S1187 S1187 0 1 8 0
S1223 S1223 0 0 8 0
S1246 S1246 0 0 6.5 0
S1251 S1251 0 0 6 0
S1287 S1287 0 1 8 0
S1289 S1289 0 1 8 0
S1309 S1309 0 0 6 0
S1313 S1313 0 0 9.8 0
S1348 S1348 0 0 6.1 0
S1350 S1350 0 0 6 0
S1353 S1353 0 0 5.3 0
S1365 S1365 0 1 8 0
S2021 S2021 0 0 13 1
S2070 S2070 0 0 25 1
S2076 S2076 0 0 31.8 1
S2154 S2154 0 1 18 0
S605 S605 0 0 13 0
S624 S624 0 0 10 0
S770 S770 0 0 13 1
S811 S811 0 0 14 1
S889 S889 0 0 6.5 0
S918 S918 0 0 18.7 0
S958 S958 0 0 18 0
S964 S964 0 0 8 0
S867 S867 0 1 8 0
S697 S697 0 0 10 1
S2091 S2091 0 0 5.5 0
S2010 S2010 0 0 9 1
S2139 S2139 0 0 9 1
S1341 S1341 0 1 8.3 0
S1456 S1456 0 0 13.2 1
S175 S175 0 0 13.8 0
S2011 S2011 0 0 17.2 1
S2020 S2020 0 0 23 1
S2080 S2080 0 0 32 1
S2119 S2119 0 0 14.9 0
S28 S28 0 0 14 1
S330 S330 0 1 8.3 0
S615 S615 0 0 7.6 0
S691 S691 0 0 8 0
S758 S758 0 0 28.5 1
S834 S834 0 0 13 0
S945 S945 0 0 8.7 0
S686 S686 0 0 8 1
S693 S693 0 0 14 1
S43 S43 0 0 10 1
S502 S502 0 1 11.5 1
S539 S539 0 1 8.5 0
S54 S54 0 0 6 0
S1185 S1185 0 1 8.6 0
S1243 S1243 0 0 7.3 0
S1357 S1357 0 0 15.3 0
S32 S32 0 0 26 0
S4 S4 0 0 10 0
S6 S6 0 0 10 1
S766 S766 0 0 13.5 0
S893 S893 0 0 12 0
S2140 S2140 0 0 7.6 1
S2090 S2090 0 0 7 0
S1068 S1068 0 0 19.7 0
S1069 S1069 0 0 16.7 0
S1299 S1299 0 1 8.9 0
S135 S135 0 0 14 0
S1459 S1459 0 0 18 1
S2002 S2002 0 0 27.9 1
S2003 S2003 0 0 18.5 1
S2019 S2019 0 0 13.2 1
S2043 S2043 0 0 13 1
S205 S205 0 0 10 1
S2162 S2162 0 1 8.9 0
S48 S48 0 0 21.5 1
S540 S540 0 1 9.9 0
S591 S591 0 0 9 0
S610 S610 0 0 16.9 1
S619 S619 0 0 17.3 0
S649 S649 0 0 22 0
S724 S724 0 0 14.5 0
S74 S74 0 0 31.4 1
S798 S798 0 0 10 0
S818 S818 0 0 10 0
S825 S825 0 0 13 1
S851 S851 0 0 14.7 1
S913 S913 0 0 18.3 0
S928 S928 0 0 8 0
S938 S938 0 0 17 0
S948 S948 0 0 25 0
S2164 S2164 0 1 8.9 0
S1057 S1057 0 0 15 0
S696 S696 0 0 9 1
S46 S46 0 1 15.2 0
S1010 S1010 0 1 9.2 0
S125 S125 0 0 19.7 1
S1312 S1312 0 0 9 0
S1372 S1372 0 0 10 1
S2039 S2039 0 0 11.6 1
S626 S626 0 0 16 0
S729 S729 0 0 19.4 1
S731 S731 0 0 14 0
S733 S733 0 0 27 1
S778 S778 0 0 13 1
S832 S832 0 0 13 1
S869 S869 0 0 12.6 0
S915 S915 0 0 16.5 0
S947 S947 0 1 12.2 0
S969 S969 0 0 19.5 1
S1463 S1463 0 0 9.6 1
S1302 S1302 0 0 10.7 0
S1454 S1454 0 0 16 0
S2008 S2008 0 0 11 1
S2051 S2051 0 0 29.5 1
S229 S229 0 1 9.6 0
S25 S25 0 0 28.5 1
S49 S49 0 0 18.9 0
S607 S607 0 0 15 0
S690 S690 0 0 11.4 1
S861 S861 0 0 32.4 1
S925 S925 0 0 12.6 0
S932 S932 0 0 14.6 0
S939 S939 0 0 21.2 1
S952 S952 0 0 10.2 0
S2099 S2099 0 0 14.9 0
S2068 S2068 0 0 10 1
S2123 S2123 0 0 9 1
S2095 S2095 0 0 18.4 1
S1017 S1017 0 1 10 0
S1211 S1211 0 0 10.7 0
S1241 S1241 0 0 8.1 0
S130 S130 0 0 13.6 0
S1304 S1304 0 0 23.9 0
S1362 S1362 0 0 14.5 0
S1368 S1368 0 0 7.7 0
S138 S138 0 0 12 0
S1400 S1400 0 0 20.5 0
S1462 S1462 0 0 13 1
S18 S18 0 0 9.8 0
S2052 S2052 0 0 15.4 1
S369 S369 0 1 15 1
S596 S596 0 0 7.4 0
S625 S625 0 0 17.9 0
S805 S805 0 0 11.1 0
S883 S883 0 0 9.3 0
S919 S919 0 0 13.9 0
S921 S921 0 0 12.7 0
S929 S929 0 0 10.2 0
S966 S966 0 0 11 0
S541 S541 0 1 10.1 0
S2103 S2103 0 0 9.6 1
S2131 S2131 0 1 11.2 1
S953 S953 0 0 18.1 0
S1360 S1360 0 0 11.3 0
S1221 S1221 0 0 7 0
S1222 S1222 0 0 6 0
S124 S124 0 0 15 1
S1408 S1408 0 0 18.1 0
S1460 S1460 0 0 16.1 1
S2018 S2018 0 0 8.9 1
S2032 S2032 0 0 14 1
S2134 S2134 0 0 12 1
S34 S34 0 0 25 0
S645 S645 0 0 15.1 0
S879 S879 0 0 33.1 1
S899 S899 0 0 20.4 0
S943 S943 0 0 16.8 1
S494 S494 0 0 6.4 0
S87 S87 0 1 10.8 0
S1188 S1188 0 1 10.9 0
S1219 S1219 0 0 7 0
S1228 S1228 0 0 8.7 0
S131 S131 0 0 14 1
S2081 S2081 0 0 14 1
S484 S484 0 0 9 0
S593 S593 0 0 21 0
S69 S69 0 0 21.3 1
S704 S704 0 0 19 0
S830 S830 0 0 16.3 0
S882 S882 0 0 9.5 0
S907 S907 0 0 10.6 0
S94 S94 0 0 14 1
S21 S21 0 0 11 1
S2044 S2044 0 0 9.8 0
S1067 S1067 0 0 7 0
S1172 S1172 0 0 17.5 0
S1321 S1321 0 0 9.1 0
S2029 S2029 0 0 22 1
S2143 S2143 0 0 29.5 1
S492 S492 0 0 26 0
S590 S590 0 0 10 0
S720 S720 0 0 28 1
S741 S741 0 0 21.5 0
S852 S852 0 0 16.5 1
S876 S876 0 1 19.5 0
S891 S891 0 0 13.5 0
S942 S942 0 0 16.5 0
S946 S946 0 0 12.5 0
S95 S95 0 0 17.5 0
S950 S950 0 0 10 0
S1396 S1396 0 1 12.7 1
S81 S81 0 0 10.6 0
S1403 S1403 0 0 15.7 0
S1407 S1407 0 0 13.6 0
S1466 S1466 0 0 15.7 0
S2108 S2108 0 0 19.7 1
S29 S29 0 0 4 0
S499 S499 0 0 8 0
S757 S757 0 0 25.8 0
S872 S872 0 0 18.1 1
S2078 S2078 0 0 13.8 1
S718 S718 0 0 8.9 0
S1253 S1253 0 0 11 0
S1261 S1261 0 0 11 0
S1320 S1320 0 0 13 0
S1361 S1361 0 0 27 0
S1388 S1388 0 0 16 1
S1391 S1391 0 0 11 0
S1445 S1445 0 0 10 0
